,study,score,status,weight
1,1,0,0,13.838
2,1,0,0,13.838
3,1,0,0,13.838
4,1,0,0,13.838
5,1,0,0,13.838
6,1,0,0,13.838
7,1,0,0,13.838
8,1,0,0,13.838
9,1,0,0,13.838
10,1,0,0,13.838
11,1,0,0,13.838
12,1,0,0,13.838
13,1,1,0,13.838
14,1,1,0,13.838
15,1,0,0,13.838
16,1,3,0,13.838
17,1,0,0,13.838
18,1,0,0,13.838
19,1,1,0,13.838
20,1,1,0,13.838
21,1,0,0,13.838
22,1,0,0,13.838
23,1,0,0,13.838
24,1,0,0,13.838
25,1,6,0,13.838
26,1,1,0,13.838
27,1,3,0,13.838
28,1,0,0,13.838
29,1,3,0,13.838
30,1,2,0,13.838
31,1,0,0,13.838
32,1,0,0,13.838
33,1,3,0,13.838
34,1,0,0,13.838
35,1,0,0,13.838
36,1,2,0,13.838
37,1,0,0,13.838
38,1,2,0,13.838
39,1,0,0,13.838
40,1,0,0,13.838
41,1,0,0,13.838
42,1,0,0,13.838
43,1,0,0,13.838
44,1,1,0,13.838
45,1,0,0,13.838
46,1,0,0,13.838
47,1,3,0,13.838
48,1,0,0,13.838
49,1,0,0,13.838
50,1,0,0,13.838
51,1,2,0,13.838
52,1,0,0,13.838
53,1,0,0,13.838
54,1,0,0,13.838
55,1,0,0,13.838
56,1,0,0,13.838
57,1,0,0,13.838
58,1,1,0,13.838
59,1,1,0,13.838
60,1,0,0,13.838
61,1,0,0,13.838
62,1,0,0,13.838
63,1,0,0,13.838
64,1,2,0,13.838
65,1,0,0,13.838
66,1,20,1,1.6429
67,1,2,0,13.838
68,1,0,0,13.838
69,1,0,0,13.838
70,1,0,0,13.838
71,1,0,0,13.838
72,1,1,0,13.838
73,1,0,0,13.838
74,1,0,0,13.838
75,1,0,0,13.838
76,1,0,0,13.838
77,1,0,0,13.838
78,1,1,0,13.838
79,1,1,0,13.838
80,1,3,0,13.838
81,1,1,0,13.838
82,1,1,0,13.838
83,1,2,0,13.838
84,1,0,0,13.838
85,1,0,0,13.838
86,1,4,0,13.838
87,1,3,0,13.838
88,1,10,0,13.838
89,1,10,0,13.838
90,1,11,0,13.838
91,1,14,0,13.838
92,1,10,0,13.838
93,1,9,0,13.838
94,1,7,0,13.838
95,1,8,0,13.838
96,1,9,0,13.838
97,1,14,0,13.838
98,1,5,0,13.838
99,1,8,0,13.838
100,1,5,0,13.838
101,1,4,0,13.838
102,1,3,0,13.838
103,1,2,0,13.838
104,1,3,0,13.838
105,1,13,0,13.838
106,1,7,0,13.838
107,1,13,0,13.838
108,1,13,0,13.838
109,1,16,0,1.6429
110,1,8,0,13.838
111,1,11,0,13.838
112,1,11,0,13.838
113,1,15,0,1.6429
114,1,3,0,13.838
115,1,14,0,13.838
116,1,15,0,1.6429
117,1,11,0,13.838
118,1,13,0,13.838
119,1,9,0,13.838
120,1,13,0,13.838
121,1,15,0,13.838
122,1,10,0,13.838
123,1,13,0,13.838
124,1,14,0,13.838
125,1,13,0,13.838
126,1,9,0,13.838
127,1,0,0,13.838
128,1,8,0,13.838
129,1,4,0,13.838
130,1,10,0,13.838
131,1,4,0,13.838
132,1,12,0,13.838
133,1,2,0,13.838
134,1,2,0,13.838
135,1,0,0,13.838
136,1,2,0,13.838
137,1,21,0,1.6429
138,1,0,0,13.838
139,1,16,0,1.6429
140,1,17,0,1.6429
141,1,18,0,1.6429
142,1,18,0,1.6429
143,1,18,0,13.838
144,1,13,0,13.838
145,1,14,1,13.838
146,1,15,1,1.6429
147,1,12,1,13.838
148,1,17,1,1.6429
149,1,23,1,1.6429
150,1,18,1,1.6429
151,1,13,1,13.838
152,1,20,1,1.6429
153,1,16,1,1.6429
154,1,25,1,1.6429
155,1,18,1,1.6429
156,1,26,1,1.6429
157,1,13,1,1.6429
158,1,16,1,1.6429
159,1,23,1,1.6429
160,1,16,1,1.6429
161,1,18,1,1.6429
162,1,20,1,1.6429
163,1,13,0,13.838
164,1,7,0,13.838
165,1,8,0,13.838
166,1,3,0,13.838
167,1,26,1,1.6429
168,1,17,1,1.6429
169,1,18,1,1.6429
170,1,18,1,1.6429
171,1,22,1,1.6429
172,1,23,1,1.6429
173,1,16,1,1.6429
174,1,24,1,1.6429
175,1,19,1,1.6429
176,1,21,1,1.6429
177,1,13,1,1.6429
178,1,17,1,1.6429
179,1,15,1,1.6429
180,1,17,1,1.6429
181,1,26,1,1.6429
182,1,18,1,1.6429
183,1,17,1,1.6429
184,1,17,1,1.6429
185,2,3,0,1
186,2,12,1,1
187,2,6,0,1
188,2,9,0,1
189,2,13,1,1
190,2,9,0,1
191,2,10,0,1
192,2,24,1,1
193,2,19,1,1
194,2,9,0,1
195,2,19,1,1
196,2,3,0,1
197,2,11,0,1
198,2,0,0,1
199,2,22,0,1
200,2,1,0,1
201,2,12,0,1
202,2,1,0,1
203,2,18,1,1
204,2,17,1,1
205,2,17,1,1
206,2,2,0,1
207,2,12,1,1
208,2,20,1,1
209,2,16,1,1
210,2,1,0,1
211,2,13,1,1
212,2,1,0,1
213,2,2,0,1
214,2,20,1,1
215,2,14,0,1
216,2,10,1,1
217,2,9,0,1
218,2,13,1,1
219,2,9,0,1
220,2,7,0,1
221,2,17,1,1
222,2,2,0,1
223,2,14,1,1
224,2,6,1,1
225,2,2,0,1
226,2,3,0,1
227,2,3,0,1
228,2,4,0,1
229,2,0,0,1
230,2,7,0,1
231,2,7,0,1
232,2,4,0,1
233,2,0,0,1
234,2,0,0,1
235,2,12,1,1
236,2,2,0,1
237,2,0,0,1
238,2,0,0,1
239,2,13,1,1
240,2,3,0,1
241,2,3,0,1
242,2,9,0,1
243,2,23,1,1
244,2,16,1,1
245,2,14,1,1
246,2,1,0,1
247,2,12,0,1
248,2,18,1,1
249,2,3,0,1
250,2,13,0,1
251,2,11,1,1
252,2,3,0,1
253,2,8,0,1
254,2,27,1,1
255,2,0,0,1
256,2,1,0,1
257,2,9,0,1
258,2,0,0,1
259,2,10,1,1
260,2,15,1,1
261,2,9,0,1
262,2,15,1,1
263,2,0,0,1
264,2,13,1,1
265,2,16,1,1
266,2,5,0,1
267,2,16,1,1
268,2,19,1,1
269,2,0,0,1
270,2,21,1,1
271,2,8,0,1
272,2,9,1,1
273,2,14,1,1
274,2,6,0,1
275,2,2,0,1
276,2,2,0,1
277,2,19,1,1
278,2,19,1,1
279,2,0,0,1
280,2,11,1,1
281,2,1,0,1
282,2,12,1,1
283,2,2,0,1
284,2,5,0,1
285,2,0,0,1
286,2,1,0,1
287,2,3,0,1
288,2,10,0,1
289,2,13,1,1
290,2,1,0,1
291,2,1,0,1
292,2,0,0,1
293,2,13,1,1
294,2,10,0,1
295,2,2,0,1
296,2,8,1,1
297,2,10,0,1
298,2,2,0,1
299,2,11,0,1
300,2,6,0,1
301,2,0,0,1
302,2,5,0,1
303,2,6,0,1
304,2,10,0,1
305,2,16,1,1
306,2,5,0,1
307,2,19,1,1
308,2,3,0,1
309,2,7,1,1
310,2,27,1,1
311,2,26,1,1
312,2,10,1,1
313,2,15,1,1
314,2,3,0,1
315,2,16,1,1
316,2,10,0,1
317,2,15,0,1
318,2,2,0,1
319,2,7,0,1
320,2,10,0,1
321,2,14,1,1
322,2,1,0,1
323,2,3,0,1
324,2,23,1,1
325,2,1,0,1
326,2,5,0,1
327,2,17,1,1
328,2,7,0,1
329,2,13,1,1
330,2,6,0,1
