scenario,rho_thres,rho_dis,var_sens,var_spec,ND,SD(ND)
1,0.25,0.25,0.1,0.05,100,80
2,0.75,0.75,0.1,0.05,100,80
3,0.25,0.75,0.1,0.05,100,80
4,0.75,0.25,0.1,0.05,100,80
5,0.25,0.25,0.25,0.1,100,80
6,0.75,0.75,0.25,0.1,100,80
7,0.25,0.75,0.25,0.1,100,80
8,0.75,0.25,0.25,0.1,100,80
9,0.25,0.25,0.1,0.05,50,40
10,0.75,0.75,0.1,0.05,50,40
11,0.25,0.75,0.1,0.05,50,40
12,0.75,0.25,0.1,0.05,50,40
13,0.25,0.25,0.25,0.1,50,40
14,0.75,0.75,0.25,0.1,50,40
15,0.25,0.75,0.25,0.1,50,40
16,0.75,0.25,0.25,0.1,50,40
